Image File,Inference Time (s),Memory Usage (MB),Temperature (°C)
95.jpg,0.6125330924987793,29.953125,61.15
84.jpg,0.3936750888824463,38.609375,60.6
70.jpg,0.36666131019592285,56.703125,60.6
117.jpg,0.4144315719604492,38.65625,62.25
55.jpg,0.3648972511291504,60.71875,62.25
45.jpg,0.31474804878234863,53.421875,62.25
106.jpg,0.3513813018798828,39.109375,63.9
75.jpg,0.38784265518188477,38.59375,63.35
85.jpg,0.3607017993927002,39.078125,63.9
40.jpg,0.3450632095336914,60.484375,63.9
10.png,0.351975679397583,39.15625,63.9
9.png,0.3594167232513428,39.65625,63.9
91.jpg,0.359417200088501,39.640625,62.25
7.png,0.5159115791320801,44.03125,63.9
33.png,0.28873467445373535,62.03125,63.9
1.jpg,0.4124796390533447,69.640625,63.9
97.jpg,0.3480656147003174,81.140625,65.0
61.jpg,0.3444545269012451,81.140625,65.0
83.jpg,0.38495874404907227,69.359375,63.35
57.jpg,0.34763479232788086,85.359375,64.45
73.jpg,0.3439762592315674,85.359375,64.45
62.jpg,0.3415353298187256,85.359375,63.9
43.jpg,0.3209726810455322,85.359375,63.9
8.png,0.3667328357696533,85.359375,65.55
2.jpg,0.34374022483825684,85.359375,65.0
41.jpg,0.3437035083770752,85.359375,63.9
60.jpg,0.260894775390625,85.359375,65.55
13.png,0.3451118469238281,85.359375,64.45
51.jpg,0.30315709114074707,85.359375,65.55
22.png,0.38019537925720215,69.65625,63.9
80.jpg,0.3786191940307617,69.8125,65.0
17.png,0.3698544502258301,76.3125,65.0
3.png,0.35124850273132324,85.3125,66.1
67.jpg,0.32264113426208496,85.3125,64.45
29.png,0.32058143615722656,85.3125,65.55
59.jpg,0.34256625175476074,86.3125,66.1
48.jpg,0.3031003475189209,86.3125,64.45
88.jpg,0.3403809070587158,86.3125,65.0
64.jpg,0.34299206733703613,86.3125,66.1
126.jpg,0.3447532653808594,86.3125,64.45
12.png,0.3019094467163086,86.3125,65.55
77.jpg,0.34497904777526855,86.3125,64.45
101.jpg,0.3722093105316162,69.21875,66.1
30.png,0.32746291160583496,80.21875,66.1
120.jpg,0.37566161155700684,69.84375,66.1
44.jpg,0.30497074127197266,74.84375,66.1
118.jpg,0.3491032123565674,85.34375,64.45
124.jpg,0.3437464237213135,85.34375,66.65
81.jpg,0.3660459518432617,85.34375,64.45
112.jpg,0.4374706745147705,74.234375,66.65
38.png,0.3464975357055664,85.234375,67.2
25.png,0.34539008140563965,85.234375,67.2
5.png,0.3452796936035156,86.734375,65.55
53.jpg,0.3438701629638672,86.734375,66.1
108.jpg,0.5341405868530273,85.03125,65.0
113.jpg,0.30292558670043945,85.03125,67.2
93.jpg,0.3446338176727295,86.03125,65.0
86.jpg,0.46269798278808594,78.140625,65.55
32.png,0.2779250144958496,78.140625,65.55
47.jpg,0.3249540328979492,84.140625,67.2
115.jpg,0.379274845123291,70.015625,66.65
94.jpg,0.38317060470581055,70.171875,65.0
68.jpg,0.2812066078186035,74.171875,66.1
96.jpg,0.3475792407989502,85.671875,67.2
82.jpg,0.4327073097229004,74.0625,67.75
27.png,0.30521702766418457,75.5625,65.0
4.png,0.3457601070404053,76.0625,65.0
14.png,0.25587010383605957,76.0625,67.2
98.jpg,0.3430047035217285,76.0625,66.65
109.jpg,0.3256087303161621,84.0625,67.2
125.jpg,0.37545132637023926,69.953125,65.55
63.jpg,0.34865736961364746,85.953125,66.1
