Image File,Inference Time (s),Memory Usage (MB),Temperature (°C)
95.jpg,0.6169190406799316,50.9375,59.5
84.jpg,0.3908510208129883,38.03125,60.05
70.jpg,0.3602275848388672,58.265625,60.6
117.jpg,0.41437506675720215,39.015625,60.6
55.jpg,0.36548447608947754,59.578125,61.15
45.jpg,0.31546521186828613,53.0,60.6
106.jpg,0.3538961410522461,61.171875,60.6
75.jpg,0.3493356704711914,59.765625,62.25
85.jpg,0.34902024269104004,59.09375,62.25
40.jpg,0.3330676555633545,58.578125,62.25
10.png,0.3575754165649414,63.765625,63.35
9.png,0.3533926010131836,64.125,62.8
91.jpg,0.34948158264160156,64.0,63.35
7.png,0.5108640193939209,46.09375,61.7
33.png,0.2949380874633789,70.09375,62.25
1.jpg,0.40134334564208984,68.375,62.25
97.jpg,0.3546907901763916,62.375,62.8
61.jpg,0.3561728000640869,62.609375,61.15
83.jpg,0.3881983757019043,65.21875,62.8
57.jpg,0.35274839401245117,61.71875,62.25
73.jpg,0.35671186447143555,68.3125,63.35
62.jpg,0.3550124168395996,63.171875,63.35
43.jpg,0.3328726291656494,62.65625,63.9
8.png,0.37763166427612305,63.71875,62.8
2.jpg,0.35318875312805176,61.828125,63.9
41.jpg,0.3424184322357178,70.328125,63.9
60.jpg,0.26220273971557617,70.328125,63.9
13.png,0.3519554138183594,81.328125,64.45
51.jpg,0.30234313011169434,81.328125,63.35
22.png,0.3805983066558838,72.828125,63.9
80.jpg,0.3731272220611572,58.8125,63.35
17.png,0.37836313247680664,58.5625,65.0
3.png,0.35207104682922363,81.5625,62.8
67.jpg,0.33295178413391113,81.5625,64.45
29.png,0.3228492736816406,82.5625,65.0
59.jpg,0.34691309928894043,85.5625,63.9
48.jpg,0.3032565116882324,85.5625,63.9
88.jpg,0.34157323837280273,85.5625,63.35
64.jpg,0.3425912857055664,85.5625,65.0
126.jpg,0.3488650321960449,85.5625,64.45
12.png,0.30637478828430176,85.5625,63.9
77.jpg,0.35075902938842773,85.5625,64.45
101.jpg,0.3716094493865967,58.8125,63.35
30.png,0.33123779296875,82.8125,64.45
120.jpg,0.3782670497894287,68.875,65.0
44.jpg,0.3105592727661133,74.375,65.0
118.jpg,0.3510935306549072,81.375,65.0
124.jpg,0.3473339080810547,85.875,64.45
81.jpg,0.36937808990478516,59.90625,65.0
112.jpg,0.4501769542694092,73.3125,63.9
38.png,0.34928321838378906,81.8125,63.35
25.png,0.3415219783782959,81.8125,63.9
5.png,0.3489692211151123,86.3125,64.45
53.jpg,0.34111452102661133,86.3125,65.55
108.jpg,0.49720072746276855,76.234375,65.55
113.jpg,0.30441856384277344,76.734375,65.55
93.jpg,0.34516310691833496,81.734375,65.0
86.jpg,0.44655728340148926,86.234375,63.35
32.png,0.27767276763916016,86.234375,65.55
47.jpg,0.31771159172058105,86.234375,63.9
115.jpg,0.3671755790710449,91.234375,65.0
94.jpg,0.36645936965942383,91.234375,65.55
68.jpg,0.2790710926055908,91.234375,64.45
96.jpg,0.3412163257598877,91.234375,65.55
82.jpg,0.4223177433013916,97.734375,65.55
27.png,0.3043851852416992,97.734375,64.45
4.png,0.33977580070495605,97.734375,65.0
14.png,0.25702333450317383,97.734375,66.1
98.jpg,0.34244370460510254,97.734375,65.0
109.jpg,0.3192133903503418,97.734375,65.0
125.jpg,0.36684393882751465,97.734375,66.1
63.jpg,0.34119248390197754,97.734375,66.65
24.png,0.30104899406433105,97.734375,66.65
0.jpg,0.345935583114624,97.734375,65.55
6.png,0.3461132049560547,97.734375,65.0
100.jpg,0.3024749755859375,97.734375,66.1
69.jpg,0.36493802070617676,97.734375,65.55
107.jpg,0.3407626152038574,97.734375,66.1
105.jpg,0.4920356273651123,107.234375,65.0
74.jpg,0.4942464828491211,107.734375,65.0
116.jpg,0.3495819568634033,107.734375,66.1
31.png,0.27860093116760254,107.734375,64.45
65.jpg,0.3640921115875244,107.734375,65.55
72.jpg,0.34130287170410156,107.734375,64.45
111.jpg,0.36739277839660645,107.734375,65.0
16.png,0.340252161026001,107.734375,66.1
78.jpg,0.36446404457092285,107.734375,65.55
28.png,0.30704498291015625,107.734375,66.65
49.jpg,0.33957409858703613,107.734375,66.1
15.png,0.3435790538787842,107.734375,66.1
18.png,0.39157676696777344,107.734375,66.65
23.png,0.34155726432800293,107.734375,67.2
66.jpg,0.3188607692718506,107.734375,66.65
71.jpg,0.3415548801422119,107.734375,64.45
79.jpg,0.3396141529083252,107.734375,67.2
90.jpg,0.32294273376464844,107.734375,66.1
26.png,0.2552056312561035,107.734375,66.65
46.jpg,0.3418138027191162,107.734375,65.55
129.jpg,0.34071826934814453,107.734375,65.55
19.png,0.34082746505737305,107.734375,66.1
42.jpg,0.3419957160949707,107.734375,67.2
37.png,0.46918535232543945,108.234375,66.65
35.png,0.3251502513885498,108.234375,67.75
102.jpg,0.3452591896057129,108.234375,65.55
127.jpg,0.40363335609436035,108.734375,66.65
114.jpg,0.3881552219390869,108.734375,65.55
11.png,0.4848330020904541,108.734375,65.55
39.png,0.3016390800476074,108.734375,66.65
58.jpg,0.3415868282318115,108.734375,67.75
104.jpg,0.3678562641143799,108.734375,65.55
56.jpg,0.3419051170349121,108.734375,66.1
121.jpg,0.3179361820220947,108.734375,66.65
87.jpg,0.3653407096862793,108.734375,65.55
50.jpg,0.36772584915161133,108.734375,67.75
52.jpg,0.32009363174438477,108.734375,67.2
34.png,0.31427550315856934,108.734375,66.1
20.png,0.483004093170166,108.734375,66.65
103.jpg,0.3424050807952881,108.734375,66.1
122.jpg,0.31944823265075684,108.734375,67.2
92.jpg,0.3435959815979004,108.734375,65.55
21.png,0.31973886489868164,108.734375,66.1
128.jpg,0.34351277351379395,108.734375,67.75
76.jpg,0.342693567276001,108.734375,66.65
119.jpg,0.3668813705444336,108.734375,66.1
99.jpg,0.3437657356262207,108.734375,67.2
36.png,0.32247400283813477,108.734375,65.55
54.jpg,0.35920286178588867,108.734375,66.1
89.jpg,0.3401041030883789,108.734375,67.75
123.jpg,0.34188151359558105,108.734375,65.55
110.jpg,0.24702739715576172,108.734375,67.75
